,RegionName,Date,HomePrice,SchoolRating,CrimeRate,DesirabilityScore
5968,Missouri,2024-12-01T00:00:00.000,246274.10031245323,4.755505630228072,5.431652490886999,0.8508935712922248
4954,Pennsylvania,2023-04-01T00:00:00.000,245168.2742193342,5.384719765615046,3.0258201701093563,0.8508798598550908
11,Virginia,2015-01-01T00:00:00.000,233924.0834911858,5.539353859993753,4.611482381530984,0.850859752766507
4854,Pennsylvania,2023-02-01T00:00:00.000,244180.84068831973,5.384719765615046,3.0258201701093563,0.8508400208295378
5586,Nebraska,2024-04-01T00:00:00.000,253457.96833111427,5.421543356991606,2.9055285540704743,0.8508117965445701
511,Virginia,2015-11-01T00:00:00.000,240473.16098099743,5.539353859993753,4.611482381530984,0.8508100741485624
5668,Missouri,2024-06-01T00:00:00.000,241796.0986076123,4.755505630228072,5.431652490886999,0.8507678778661225
2671,Minnesota,2019-06-01T00:00:00.000,249573.30079984365,5.491053131379886,1.9978736330498184,0.8507660120614784
4305,Illinois,2022-03-01T00:00:00.000,236985.1976042885,5.358720940699641,7.296172539489672,0.8507626216289033
3408,North Carolina,2020-09-01T00:00:00.000,221609.59787978115,5.092177414770958,9.557108140947754,0.8507595557009271
3754,Pennsylvania,2021-04-01T00:00:00.000,217386.55652575343,5.384719765615046,3.0258201701093563,0.8507228891914915
5966,Indiana,2024-12-01T00:00:00.000,238276.61412796864,3.888536857320105,3.408566221142163,0.850705717278633
2302,Florida,2018-11-01T00:00:00.000,245096.5191036873,5.45553754827597,10,0.8507033475201856
411,Virginia,2015-09-01T00:00:00.000,238649.74184418083,5.539353859993753,4.611482381530984,0.8506933542766644
5636,Nebraska,2024-05-01T00:00:00.000,254504.2606658916,5.421543356991606,2.9055285540704743,0.8506670862408012
4504,Pennsylvania,2022-07-01T00:00:00.000,245864.7748069825,5.384719765615046,3.0258201701093563,0.8506666507987017
1793,Montana,2017-12-01T00:00:00.000,240741.7321165521,6.690275325424409,3.1406439854191985,0.8506340613795188
3804,Pennsylvania,2021-05-01T00:00:00.000,220273.9930922438,5.384719765615046,3.0258201701093563,0.8506206332399118
2352,Florida,2018-12-01T00:00:00.000,246419.56691892783,5.45553754827597,10,0.8506068998257932
2998,Vermont,2019-12-01T00:00:00.000,260129.2435563405,10,1.2269137302551643,0.8506043912142558
3755,Illinois,2021-04-01T00:00:00.000,215520.31048042089,5.358720940699641,7.296172539489672,0.8505865753673335
3504,Pennsylvania,2020-11-01T00:00:00.000,203040.1573036347,5.384719765615046,3.0258201701093563,0.8505788806764979
561,Virginia,2015-12-01T00:00:00.000,241320.13692500253,5.539353859993753,4.611482381530984,0.8505671955599656
5768,Missouri,2024-08-01T00:00:00.000,242992.1447370199,4.755505630228072,5.431652490886999,0.8505400479722208
